iteration,chunk_size,chunk_overlap,top_k,similarity_threshold,retriever_type,faithfulness,context_recall,context_precision,response_relevancy
1,300,60,3,0.0,similarity,0.8606701940035273,0.9,0.9479166665963541,0.8709823347321419
2,1000,150,4,0.1,similarity,0.9629629629629631,1.0,0.9374999999447916,0.9502283695177053
3,1200,200,5,0.2,similarity_score_threshold,0.9714285714285715,1.0,0.4902777777509375,0.9585048125607388
4,1500,250,4,0.25,similarity_score_threshold,0.9841269841269842,1.0,0.7857142856569445,0.9427886496540047
5,1000,150,3,0.2,mmr,0.9777777777777779,1.0,0.9074074073592592,0.8507560165948995
6,800,120,5,0.3,similarity_score_threshold,0.8271604938271604,1.0,0.81249999993125,0.8423886067208015
7,900,135,4,0.25,similarity_score_threshold,1.0,1.0,0.8305555555128704,0.9315161037534789
8,1100,165,4,0.28,similarity_score_threshold,0.7991776315789474,1.0,0.802083333296875,0.85018383752026
9,1300,200,3,0.3,similarity_score_threshold,0.944945054945055,1.0,0.7962962962398148,0.9235130741224331
10,1400,210,4,0.3,similarity_score_threshold,0.9767195767195768,1.0,0.8333333332833334,0.9305630292357202
