iteration,chunk_size,chunk_overlap,top_k,similarity_threshold,retriever_type,faithfulness,context_recall,context_precision,response_relevancy
1,300,50,1,0.0,similarity,0.7541666666666667,0.625,0.6249999999375,0.8599372022422378
2,500,100,4,0.1,similarity,0.875,0.75,0.6190476190212301,0.8172822501702008
3,400,80,6,0.25,mmr,0.7946428571428572,0.875,0.49999999995,0.77483919801768
4,350,70,5,0.3,similarity_score_threshold,0.825,0.75,0.34166666665180556,0.8596525575014811
5,300,60,7,0.2,mmr,0.8549107142857143,0.75,nan,0.9569283705068675
6,400,80,6,0.35,similarity_score_threshold,0.8653846153846154,0.75,0.3777777777651852,0.7253322673775777
7,350,70,5,0.4,similarity_score_threshold,0.9336734693877551,0.75,0.49999999998333333,0.8458327041049056
8,500,100,4,0.45,similarity_score_threshold,0.8694444444444445,0.75,0.6666666666166666,0.8304448583731769
9,450,90,6,0.3,mmr,0.9141156462585034,0.75,0.6666666666208333,0.9658806600965599
10,300,60,8,0.25,mmr,0.8809523809523808,0.7142857142857143,0.49999999995,0.9657754093360067
